"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"1","MIR_17_5P",0.770903383145099,0.370610450391306,2.08009078624509,0.0375737534266068,"BMD",0.0536767906094383
"2","MIR_17_5P",-0.840901226315374,0.431988295610258,-1.94658335621676,0.0516469501322351,"OPIOID_USERS",0.0645586876652938
"3","MIR_26A_5P",0.864248634551687,0.38926947602259,2.22018084588151,0.0264560861332195,"BMD",0.0417727675787676
"4","MIR_26A_5P",-1.13340909384038,0.453872986081657,-2.49719443235704,0.0125534573099651,"OPIOID_USERS",0.0221531599587619
"5","MIR_184",0.924914282286886,0.40300638220738,2.29503631486149,0.0217768481035115,"BMD",0.0362947468391859
"6","MIR_184",-0.771971304669756,0.475553029923627,-1.62331276659878,0.104592605030812,"OPIOID_USERS",0.120683775035552
"7","MIR_106A_5P",0.749688075598235,0.365860661040284,2.04910818634226,0.0405090842343055,"BMD",0.05605409445691
"8","MIR_106A_5P",-0.707688194944311,0.42763005843753,-1.65490750937868,0.0980126104911951,"OPIOID_USERS",0.117615132589434
"9","MIR_374A_5P",0.963480688115798,0.381282513443221,2.52694695965718,0.011539493244388,"BMD",0.0213404040923624
"10","MIR_374A_5P",-0.813455449097765,0.447755543803253,-1.81674009480317,0.0693226694427427,"OPIOID_USERS",0.0848849013584605
"11","MIR_886_3P",0.757842933174077,0.358642162114433,2.11308934985806,0.0346539254587898,"BMD",0.0507130616470094
"12","MIR_886_3P",1.03703704864223,0.411345086012454,2.52108772878555,0.0117372222507993,"OPIOID_USERS",0.0213404040923624
"13","MIR_628_3P",0.436625148188953,0.206104440262655,2.11846551016818,0.0341904894148535,"BMD",0.0507130616470094
"14","MIR_628_3P",-0.477821863714299,0.243289060008629,-1.96400883663799,0.0495907253914981,"OPIOID_USERS",0.0633073090104232
"15","MIR_7_1_3P",0.883851276034946,0.396554899573869,2.22882450068003,0.0258752233518871,"BMD",0.0417727675787676
"16","MIR_7_1_3P",-0.941970060083711,0.461061129480086,-2.04304809027367,0.0411063359350674,"OPIOID_USERS",0.05605409445691
"17","MIR_1255B_5P",0.490020969599749,0.227978052769052,2.14942168181493,0.0316549280713429,"BMD",0.0486998893405276
"18","MIR_1255B_5P",-0.527553028140293,0.264882469198368,-1.99164946527742,0.0464707611205544,"OPIOID_USERS",0.0619610148274059
"19","MIR_1285_3P",0.620058027134405,0.250384162335052,2.47642670906906,0.0133095469978156,"BMD",0.0228163662819697
"20","MIR_1285_3P",-0.488066057169935,0.299011060662661,-1.6322675692608,0.102698007605827,"OPIOID_USERS",0.120683775035552
