"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"16","MIR_20A_5P",-1.38089035796125,0.361501886622049,-3.81987040472896,0.000135000057735166,"OPIOID_USERS",0.0391500167431982,"linear","90%",-1.38089035796125
"17","MIR_25_5P",-0.86056086363375,0.254022993450831,-3.38772822075384,0.000709781107320686,"OPIOID_USERS",0.102918260561499,"linear","90%",-0.86056086363375
"23","MIR_483_3P",1.66352390998592,0.507914800772413,3.27520266677819,0.00108264621928549,"OPIOID_USERS",0.104655801197597,"linear","90%",1.66352390998592
"7","MIR_130A_3P",-1.33810897120349,0.433100915116721,-3.08960088630352,0.00201442382549644,"OPIOID_USERS",0.146045727348492,"linear","90%",-1.33810897120349
"8","MIR_144_5P",-1.38272970032691,0.461664916939598,-2.99509373485234,0.00275614441725222,"OPIOID_USERS",0.159856376200629,"linear","90%",-1.38272970032691
"9","MIR_151A_5P",-0.669159068625021,0.235520141423489,-2.84119678504186,0.00451252773000511,"OPIOID_USERS",0.218105506950247,"linear","90%",-0.669159068625021
"11","MIR_183_3P",-0.825192393583159,0.30813493199033,-2.6780228656745,0.00742783706934131,"OPIOID_USERS",0.269592959733055,"linear","90%",-0.825192393583159
"20","MIR_301A_3P",-0.928990308002316,0.351056022345871,-2.6462736682154,0.00817150245733309,"OPIOID_USERS",0.269592959733055,"linear","90%",-0.928990308002316
"2","MIR_1255B_5P",-0.636910642716476,0.241719474431247,-2.6349165461951,0.00843993280242732,"OPIOID_USERS",0.269592959733055,"linear","90%",-0.636910642716476
"26","MIR_628_3P",-0.560823705230686,0.215545074141446,-2.60188597426569,0.00929630895631223,"OPIOID_USERS",0.269592959733055,"linear","90%",-0.560823705230686
"13","MIR_18A_5P_A1",-0.905478057730859,0.355560585520756,-2.54662101088817,0.0109044747656185,"OPIOID_USERS",0.275977674752881,"linear","90%",-0.905478057730859
"10","MIR_17_5P",-0.964863111461999,0.381302616030066,-2.53043926503226,0.0114197658518434,"OPIOID_USERS",0.275977674752881,"linear","90%",-0.964863111461999
"24","MIR_504",0.815384088730816,0.330664751569642,2.46589358212584,0.0137550916030903,"OPIOID_USERS",0.281783866051051,"linear","90%",0.815384088730816
"14","MIR_193A_5P",-0.57540795636939,0.235953419785455,-2.43865063236884,0.014773907489918,"OPIOID_USERS",0.281783866051051,"linear","90%",-0.57540795636939
"3","MIR_1274A",1.07155734120701,0.44064783893266,2.43177713931956,0.0150952488409654,"OPIOID_USERS",0.281783866051051,"linear","90%",1.07155734120701
"18","MIR_26A_5P",-0.955663803916086,0.394878865956482,-2.42014421714178,0.015546696057989,"OPIOID_USERS",0.281783866051051,"linear","90%",-0.955663803916086
"28","MIR_886_3P",0.863266211096252,0.365388995021695,2.36259499562923,0.018185886155171,"OPIOID_USERS",0.310229822647034,"linear","90%",0.863266211096252
"22","MIR_374A_5P",-0.929751029057769,0.400357723178335,-2.32230072065732,0.0202529199415847,"OPIOID_USERS",0.314536893355373,"linear","90%",-0.929751029057769
"6","MIR_1304_5P",2.66635307567763,1.15047564563837,2.31760931731688,0.0206075895646624,"OPIOID_USERS",0.314536893355373,"linear","90%",2.66635307567763
"19","MIR_26B_5P",-1.16183957883904,0.511118116274177,-2.27313323837615,0.023059488793133,"OPIOID_USERS",0.318823727484803,"linear","90%",-1.16183957883904
"21","MIR_328",-0.668888567122566,0.294455435145274,-2.27161222815453,0.0231476420242163,"OPIOID_USERS",0.318823727484803,"linear","90%",-0.668888567122566
"4","MIR_1275",-0.787774600887176,0.349378474336783,-2.25478859961991,0.0241866276022954,"OPIOID_USERS",0.318823727484803,"linear","90%",-0.787774600887176
"5","MIR_1285_3P",-0.599215938306171,0.26832529635868,-2.23316976236626,0.025580889091883,"OPIOID_USERS",0.32163660091786,"linear","90%",-0.599215938306171
"27","MIR_7_1_3P",-0.933512852344931,0.420941843407604,-2.21767654360034,0.0266182014552712,"OPIOID_USERS",0.32163660091786,"linear","90%",-0.933512852344931
"12","MIR_184",-0.864935843049838,0.422293027651857,-2.04818878459651,0.0405891254426394,"OPIOID_USERS",0.455479783625823,"linear","90%",-0.864935843049838
"25","MIR_505_5P",-0.428291250384647,0.212060230206316,-2.01966794984594,0.0434670401477369,"OPIOID_USERS",0.455479783625823,"linear","90%",-0.428291250384647
"1","MIR_106A_5P",-0.7572454949278,0.375407258957815,-2.0171306677181,0.0437302474657275,"OPIOID_USERS",0.455479783625823,"linear","90%",-0.7572454949278
"15","MIR_193B_3P",0.69066995426633,0.345510475696159,1.99898412016226,0.0456592117232275,"OPIOID_USERS",0.455479783625823,"linear","90%",0.69066995426633
