"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"1","CASECONTROL",-0.00798590528030768,0.0111570780242188,-0.715770317548426,0.474168915903572,"CASECONTROL",0.502591321681417
"2","HSA_MIR_128A",0.00169369863872867,0.00123220505317316,1.37452661338069,0.169380813650371,"HSA_MIR_128A",0.191278956225107
"3","LET_7A_5P",0.00044678289081191,0.0004442346924341,1.00573615348195,0.314625783516868,"LET_7A_5P",0.343529658207423
"4","LET_7B_5P",5.59133128003887e-05,0.000682164044231844,0.0819646143375239,0.9346787975089,"LET_7B_5P",0.942478620575733
"5","LET_7C",-0.000921794868613812,0.000796580986548144,-1.15718914232219,0.247260962899531,"LET_7C",0.273060469310221
"6","LET_7D_3P",0.000227090586341527,0.00153286640098959,0.148147670400318,0.882254727565312,"LET_7D_3P",0.895846887233685
"7","LET_7E_5P",0.00129423344627446,0.000625237633409604,2.06998647732803,0.038511290231019,"LET_7E_5P",0.0460357550164695
"8","LET_7G_3P",0.000175542213596855,0.00165259411527643,0.106222218737292,0.915414640617735,"LET_7G_3P",0.927568992939005
"9","LET_7G_5P",0.00160802802570314,0.000695499711146926,2.31204700725382,0.0208190331993365,"LET_7G_5P",0.025282745510082
"10","MIR_100_5P",0.00121655024868237,0.000661790986655988,1.83826959449775,0.0661240318792657,"MIR_100_5P",0.0778877711006786
"11","MIR_103A_3P",0.00138791658970827,0.000674121641386113,2.05885185180299,0.039566967528808,"MIR_103A_3P",0.0472198377915816
"12","MIR_106A_5P",0.00127307209952509,0.000603583218530077,2.10919068065782,0.034982906629083,"MIR_106A_5P",0.0419216649687358
"13","MIR_106B_3P",0.00122035024413243,0.000592162000914714,2.0608384905606,0.0393770137031683,"MIR_106B_3P",0.0470318532698469
"14","MIR_106B_5P",0.000340235541798519,0.00060636105192243,0.561110481485946,0.574749436346306,"MIR_106B_5P",0.603029437555821
"15","MIR_107",0.00351305288477037,0.00385033441417645,0.912402016779567,0.361965789662534,"MIR_107",0.391387319172762
"16","MIR_10A_5P",0.00013290156984562,0.00209913620956296,0.0633125040862834,0.949529584231836,"MIR_10A_5P",0.954135756851117
"17","MIR_1178",0.00242552503106081,0.00174896174390686,1.38683709893083,0.165723129402013,"MIR_1178",0.187733232525718
"18","MIR_1179",8.11214055623141e-05,0.00298505121617556,0.0271758839924518,0.978326270450864,"MIR_1179",0.980306355310191
"19","MIR_1180",0.00204632888413914,0.00122041220912441,1.67675222260132,0.0936608203959739,"MIR_1180",0.108907930692993
"20","MIR_1201",-0.000125578493094247,0.00123571557068279,-0.101624108389974,0.919067937291905,"MIR_1201",0.929322530734493
"21","MIR_1227",0.00123449530425952,0.000812177721839518,1.51998173683402,0.128643400714745,"MIR_1227",0.147573521389541
"22","MIR_1236",0.000751131257766895,0.00109372843465487,0.68676211934082,0.492444076041402,"MIR_1236",0.520440167828012
"23","MIR_1244",-0.00117018371881576,0.00147869429240873,-0.791362842761488,0.428823524557782,"MIR_1244",0.458212314376407
"24","MIR_1248",-0.0026765889406501,0.00148842150802078,-1.79827349055797,0.0722498145705743,"MIR_1248",0.0845538588598328
"25","MIR_1254",0.0028747613761042,0.00119260650328528,2.41048608085321,0.0159711545587609,"MIR_1254",0.0195262850844885
"26","MIR_1255B_5P",0.00219356586230151,0.000988001199214217,2.22020566781307,0.0264551610290397,"MIR_1255B_5P",0.0318340111967698
"27","MIR_125A_5P",0.00189560771829042,0.000689501383185834,2.74924425754128,0.0059967650270417,"MIR_125A_5P",0.00741288089446757
"28","MIR_125B_5P",0.000673064255210943,0.000689925824377723,0.975560315948474,0.32933388727242,"MIR_125B_5P",0.358240162449369
"29","MIR_126_3P",0.000933070554646597,0.000659452357294343,1.41491730877251,0.157159803885387,"MIR_126_3P",0.178705020745707
"30","MIR_126_5P",0.000604104060265941,0.000582798942855976,1.03655654779599,0.300018428542668,"MIR_126_5P",0.328818383512372
