"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"109","MIR_19A_3P",1.27753271997882,0.336859739593044,3.79247671901127,0.000151194819590663,"BMD",0.0387676294433346,"linear",">10%",1.27753271997882
"243","MIR_625_3P",1.36702755114987,0.374743593497358,3.64790105787228,0.000267362961678169,"BMD",0.0387676294433346,"linear",">10%",1.36702755114987
"128","MIR_222_3P",1.2802919995964,0.390375744686584,3.27964023641962,0.00104708959736711,"BMD",0.101218661078821,"linear",">10%",1.2802919995964
"101","MIR_192_5P",1.22582447007992,0.393729219525433,3.11336931396005,0.00186086953615088,"BMD",0.111661336012067,"linear",">10%",1.22582447007992
"52","MIR_132_3P",1.02199308945403,0.32931303400875,3.103409169729,0.00192519544848392,"BMD",0.111661336012067,"linear",">10%",1.02199308945403
"92","MIR_186_5P_A1",1.18511138701465,0.403618266650404,2.93621841461685,0.00333922812984274,"BMD",0.126359667917463,"linear",">10%",1.18511138701465
"94","MIR_18A_3P",0.553081633344755,0.188408586606435,2.93554366765716,0.00334644393754328,"BMD",0.126359667917463,"linear",">10%",0.553081633344755
"93","MIR_186_5P_A2",1.10805415265139,0.381381319611202,2.90537080783346,0.00368593170288472,"BMD",0.126359667917463,"linear",">10%",1.10805415265139
"80","MIR_15B_5P",0.891084804538926,0.312353851177871,2.85280556387792,0.00435360658286853,"BMD",0.126359667917463,"linear",">10%",0.891084804538926
"82","MIR_16_5P",1.29683818844044,0.45558065224362,2.84656115674324,0.00443917787593567,"BMD",0.126359667917463,"linear",">10%",1.29683818844044
"63","MIR_142_5P",0.752762497712112,0.266716083373618,2.82233635178887,0.0047929529210072,"BMD",0.126359667917463,"linear",">10%",0.752762497712112
"111","MIR_19B_3P",0.809249988371937,0.289945730753724,2.79103950338659,0.00527560317718377,"BMD",0.127493743448608,"linear",">10%",0.809249988371937
"27","MIR_125A_5P",0.87105242965943,0.316833408770465,2.74924425754128,0.0059967650270417,"BMD",0.131212612315675,"linear",">10%",0.87105242965943
"268","MIR_886_5P",0.652603163394575,0.240830090818895,2.70980740477873,0.0067576973999727,"BMD",0.131212612315675,"linear",">10%",0.652603163394575
