"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"1","LET_7E_5P",0.00129423344627446,0.000625237633409604,2.06998647732803,0.038511290231019,"LET_7E_5P",0.0460357550164695
"2","LET_7G_5P",0.00160802802570314,0.000695499711146926,2.31204700725382,0.0208190331993365,"LET_7G_5P",0.025282745510082
"3","MIR_103A_3P",0.00138791658970827,0.000674121641386113,2.05885185180299,0.039566967528808,"MIR_103A_3P",0.0472198377915816
"4","MIR_106A_5P",0.00127307209952509,0.000603583218530077,2.10919068065782,0.034982906629083,"MIR_106A_5P",0.0419216649687358
"5","MIR_106B_3P",0.00122035024413243,0.000592162000914714,2.0608384905606,0.0393770137031683,"MIR_106B_3P",0.0470318532698469
"6","MIR_1254",0.0028747613761042,0.00119260650328528,2.41048608085321,0.0159711545587609,"MIR_1254",0.0195262850844885
"7","MIR_1255B_5P",0.00219356586230151,0.000988001199214217,2.22020566781307,0.0264551610290397,"MIR_1255B_5P",0.0318340111967698
"8","MIR_125A_5P",0.00189560771829042,0.000689501383185834,2.74924425754128,0.0059967650270417,"MIR_125A_5P",0.00741288089446757
"9","MIR_1260A",0.00167890876584484,0.000799455258593426,2.10006594840434,0.035778753959137,"MIR_1260A",0.0428046148851061
"10","MIR_1271_5P_B1",0.00215942057416807,0.000893968165509046,2.41554527049455,0.0157517668860915,"MIR_1271_5P_B1",0.0192743139112513
"11","MIR_1285_3P",0.00239106002389901,0.000948295955648522,2.52142805171389,0.0117246116299355,"MIR_1285_3P",0.0143951624584305
"12","MIR_132_3P",0.00213808455021816,0.000688947036398961,3.103409169729,0.00192519544848393,"MIR_132_3P",0.00239616600884266
"13","MIR_140_3P",0.00159428153816799,0.000649588862711254,2.45429321480941,0.0141527569841839,"MIR_140_3P",0.0173469971488307
"14","MIR_142_3P",0.00142556545855656,0.000644549883871519,2.21172246590728,0.0270361682867726,"MIR_142_3P",0.0325061724840964
"15","MIR_142_5P",0.00285226375891232,0.0010106037705621,2.82233635178887,0.00479295292100717,"MIR_142_5P",0.00593491181508147
"16","MIR_146A_5P",0.00120369007435353,0.000537027164757072,2.24139513482159,0.0250484840964162,"MIR_146A_5P",0.0301914396839596
"17","MIR_146B_5P",0.0017233494787087,0.000735277108457115,2.34380950921338,0.0191302519515278,"MIR_146B_5P",0.0232708601759356
"18","MIR_15B_5P",0.00205882868824492,0.000721685597614401,2.85280556387792,0.00435360658286852,"MIR_15B_5P",0.00540011081707387
"19","MIR_16_5P",0.0013686886775286,0.000480821806440485,2.84656115674324,0.00443917787593568,"MIR_16_5P",0.00550154523086046
"20","MIR_17_5P",0.00129021541346881,0.000599992176734197,2.15038706086394,0.0315777952828671,"MIR_17_5P",0.0378724591895429
"21","MIR_182_5P",0.00150102760808524,0.000602038702772413,2.49324105107022,0.0126971777780557,"MIR_182_5P",0.015576064110136
"22","MIR_183_5P",-0.00442722965464467,0.00194524757764116,-2.27592091902934,0.0230615159014439,"MIR_183_5P",0.0278659983809114
"23","MIR_184",0.00129749886786347,0.000550876029168638,2.35533731576886,0.0185485780155004,"MIR_184",0.022601208506282
"24","MIR_186_5P_A1",0.00161280243733778,0.000549278769354847,2.93621841461685,0.00333922812984268,"MIR_186_5P_A1",0.00415255642218858
"25","MIR_186_5P_A2",0.00167707636764301,0.00057723315837045,2.90537080783346,0.00368593170288472,"MIR_186_5P_A2",0.00457585699416339
"26","MIR_18A_3P",0.00344583152937727,0.00117383078553465,2.93554366765716,0.00334644393754329,"MIR_18A_3P",0.00415796376130057
"27","MIR_192_5P",0.0016951569779397,0.000544476676871829,3.11336931396005,0.0018608695361509,"MIR_192_5P",0.00231809349434605
"28","MIR_197_3P",0.00185982443135379,0.000835362547464546,2.22636798477337,0.0260375842958651,"MIR_197_3P",0.0313575558380436
"29","MIR_19A_3P",0.00260345260304502,0.000686478203015511,3.79247671901127,0.000151194819590665,"MIR_19A_3P",0.000189156590514637
"30","MIR_19B_3P",0.00209226583576234,0.000749636769104713,2.79103950338659,0.00527560317718377,"MIR_19B_3P",0.0065269834530004
"31","MIR_20B_3P",0.00304077755329351,0.00127251092460103,2.38958856423718,0.0169196824409243,"MIR_20B_3P",0.0206511275583672
"32","MIR_20B_5P",0.00157400542116713,0.000688478389808539,2.28620889844466,0.0222876114895578,"MIR_20B_5P",0.0269758235891977
"33","MIR_210",0.00148532542271795,0.000634723772812168,2.34011311115252,0.0193217763351538,"MIR_210",0.023484137205342
"34","MIR_22_3P",0.0018090023295054,0.000686118036413818,2.63657597307985,0.00840571352319291,"MIR_22_3P",0.0103553819954373
"35","MIR_222_3P",0.00181226960822677,0.000552581831416125,3.27964023641963,0.00104708959736709,"MIR_222_3P",0.00130660922218785
"36","MIR_26A_5P",0.00131556549545197,0.000569595714595892,2.30964781114148,0.0209526610054867,"MIR_26A_5P",0.0254237309271595
"37","MIR_296_5P",0.00164498333323415,0.000726714812814587,2.26358855527257,0.0236485135867112,"MIR_296_5P",0.0285514943386605
"38","MIR_29C_3P",0.0012567730723791,0.000550014601988378,2.28498128565259,0.0223596987931892,"MIR_29C_3P",0.02704050312771
"39","MIR_29C_5P",0.00199618448438326,0.000971037193826146,2.05572402074298,0.0398679905026608,"MIR_29C_5P",0.047539955780311
"40","MIR_339_3P",0.00174598258018822,0.000830844932334489,2.1014542091295,0.0356559064636524,"MIR_339_3P",0.0426928690109794
"41","MIR_33A_3P",0.00860226423375295,0.00362491675496566,2.37309290536644,0.0179176911712652,"MIR_33A_3P",0.0218508428917869
"42","MIR_342_3P",0.00185580148930202,0.000826279292416499,2.24597361489555,0.0247527160433206,"MIR_342_3P",0.0298597656096629
"43","MIR_345_5P",0.00186132805068488,0.000905975334740617,2.0545019045334,0.0399846492533904,"MIR_345_5P",0.0476398861277043
"44","MIR_374A_5P",0.00149267971456106,0.000575549143727257,2.59348785560597,0.00953121534076979,"MIR_374A_5P",0.0117319713447506
"45","MIR_382_5P",-0.00154665712796983,0.000786961218010813,-1.96535368271297,0.0494455868829278,"MIR_382_5P",0.0585752458988932
"46","MIR_425_3P",0.00189262044460264,0.000744860988560115,2.54090424075135,0.0110900270072865,"MIR_425_3P",0.0136275755598012
"47","MIR_454_3P",0.00139844736025636,0.00051714686224016,2.70415903559505,0.00687496116664572,"MIR_454_3P",0.00848399463117983
"48","MIR_484",0.0043450141016759,0.00216608136146766,2.00593300832055,0.0449215272765258,"MIR_484",0.0532593741218008
"49","MIR_500A_5P",0.00206994366683497,0.000901000048064106,2.2973846353088,0.0216430346947981,"MIR_500A_5P",0.0262175441165056
"50","MIR_502_3P",0.00220624078705433,0.000912781188326387,2.41705330397917,0.0156867000374748,"MIR_502_3P",0.0192109079850832
"51","MIR_532_5P",0.00176328464535371,0.00086762035422464,2.03232282042241,0.0421810503393044,"MIR_532_5P",0.0500921564225973
"52","MIR_542_3P",0.00238659404738307,0.0011648910152196,2.04877024219571,0.0408344419033826,"MIR_542_3P",0.0485725518949178
"53","MIR_576_3P",0.00223142758171191,0.000873314825202321,2.55512389955701,0.0106487772584278,"MIR_576_3P",0.0130964605807637
"54","MIR_589_3P",0.0015683803141569,0.000767606456727935,2.04320886101247,0.0410916945411582,"MIR_589_3P",0.0488384894136717
"55","MIR_625_3P",0.00214069374721546,0.0005868288950973,3.64790105787228,0.000267362961678174,"MIR_625_3P",0.000333915843611846
"56","MIR_625_5P",0.00198450622150492,0.000966295880108955,2.05372522263176,0.0400615473415548,"MIR_625_5P",0.0476923182637558
"57","MIR_628_3P",0.00235838110329237,0.00108040760711851,2.18286236393898,0.0290976075559438,"MIR_628_3P",0.0349267640365219
