"miRNA","Estimate.x","Estimate.y","Std..Error.x","Std..Error.y"
"MIR_106A_5P",-0.7572454949278,0.00127307209952509,0.375407258957815,0.000603583218530077
"MIR_1255B_5P",-0.636910642716476,0.00219356586230151,0.241719474431247,0.000988001199214217
"MIR_1285_3P",-0.599215938306171,0.00239106002389901,0.26832529635868,0.000948295955648522
"MIR_17_5P",-0.964863111461999,0.00129021541346881,0.381302616030066,0.000599992176734197
"MIR_184",-0.864935843049838,0.00129749886786347,0.422293027651857,0.000550876029168638
"MIR_26A_5P",-0.955663803916086,0.00131556549545197,0.394878865956482,0.000569595714595892
"MIR_374A_5P",-0.929751029057769,0.00149267971456106,0.400357723178335,0.000575549143727257
"MIR_628_3P",-0.560823705230686,0.00235838110329237,0.215545074141446,0.00108040760711851
"MIR_7_1_3P",-0.933512852344931,0.00130052027722144,0.420941843407604,0.00056477229495992
"MIR_886_3P",0.863266211096252,0.00138262389321905,0.365388995021695,0.000685283214378614
