"variable","coefficient","std.error","t.value","p.value","model","fdr_value"
"(Intercept)",1.00001046045096,0.0149371453100225,66.9478966492999,0,1,0
"MIR_17_5P",0.00124798735301601,0.00059996773278768,2.08009078624509,0.0375737534266068,1,0.0388694000964898
"OPIOID_USERS",-0.0405800414114519,0.0173778790104956,-2.33515502018072,0.0195791244639998,1,0.0249946269753189
"Age",-0.00498116289533691,0.000143121974104852,-34.8036206633628,3.36977097774331e-235,1,1.68488548887166e-234
"SexMale",0.0531328812911454,0.00368487024740971,14.4192000596209,4.13415595211118e-46,1,6.8902599201853e-46
"BMI",0.00692954236683528,0.000343951910483774,20.1468349371537,1.71020451700181e-86,1,4.4614030878308e-86
"(Intercept)",0.998499741976413,0.0145803438959794,68.4825919813697,0,2,0
"MIR_26A_5P",0.0012649244428278,0.000569739372886792,2.22018084588151,0.0264560861332193,2,0.0299502861885502
"OPIOID_USERS",-0.0402295048757317,0.0173655734743603,-2.31662403404812,0.0205688715451118,2,0.0251863733205451
"Age",-0.00498298603280463,0.000142912817719018,-34.8673135995522,5.06957191647495e-236,2,2.76522104534997e-235
"SexMale",0.0539873925233358,0.00368646245514723,14.6447693907626,1.76906033508882e-47,2,3.4239877453332e-47
"BMI",0.00697148260393942,0.000341688417870409,20.4030404290246,1.41925135364522e-88,2,4.05500386755777e-88
"(Intercept)",1.0028678780808,0.0140401065676283,71.4287938806019,0,3,0
"MIR_184",0.00126402913833921,0.000550766508640408,2.29503631486148,0.0217768481035117,3,0.0261322177242141
"OPIOID_USERS",-0.0419809925191402,0.0175743267134719,-2.38876818461323,0.016945929841016,3,0.02310808614684
"Age",-0.00492532456485406,0.000145296902290107,-33.8983453000251,1.57013464505698e-224,3,5.54165168843639e-224
"SexMale",0.0538037702365044,0.00368810785333227,14.588448162624,3.9046077880071e-47,3,7.09928688728564e-47
"BMI",0.00689274409218435,0.00034344698914448,20.069309995566,7.08316580032373e-86,3,1.77079145008093e-85
"(Intercept)",0.995609329190044,0.0163912459457171,60.7403081185654,0,4,0
"MIR_106A_5P",0.00123659585320008,0.000603480021915024,2.04910818634226,0.0405090842343055,4,0.0411956788823445
"OPIOID_USERS",-0.0408558056056974,0.017362315462405,-2.35313116468616,0.0186586327440675,4,0.0243373470574794
"Age",-0.00491425017650845,0.000143764993676419,-34.1825228161541,5.22946306508067e-228,4,2.09178522603227e-227
"SexMale",0.0533983121543748,0.00366757007550822,14.5595887890364,5.76943060847347e-47,4,1.01813481326002e-46
"BMI",0.00691210577928298,0.00034259226914425,20.1758953771739,9.41419851169622e-87,4,2.56750868500806e-86
"(Intercept)",1.00700874627308,0.0124704832282698,80.751381308966,0,5,0
"MIR_374A_5P",0.001454231259491,0.000575489427640493,2.52694695965718,0.0115394932443881,5,0.0168870632844703
"OPIOID_USERS",-0.0411028217716448,0.0173911086257503,-2.36343885005614,0.0181480113300807,5,0.0241973484401076
"Age",-0.00496942664508008,0.000143303231630518,-34.6777011832703,5.03051117437461e-234,5,2.3217743881729e-233
"SexMale",0.053598363424461,0.00366439712360481,14.6267889686952,2.22091262511284e-47,5,4.16421117208657e-47
"BMI",0.00688445647539731,0.000344498365430704,19.9840033109885,3.12209234036912e-85,5,7.20482847777489e-85
"(Intercept)",1.0129298640077,0.0128413772861257,78.8801575904252,0,6,0
"MIR_886_3P",0.00144819124360485,0.000685343117981322,2.11308934985806,0.0346539254587897,6,0.0364778162724103
"OPIOID_USERS",-0.044955008073567,0.0179818890661776,-2.50001587197663,0.012457883996645,6,0.0177969771380643
"Age",-0.00492496079339282,0.000151042421199782,-32.6064740903394,2.28543080287626e-207,6,6.85629240862878e-207
"SexMale",0.0513501278091077,0.00388764461617378,13.2085447305228,4.93896018824739e-39,6,7.40844028237108e-39
"BMI",0.00685724697103886,0.000364707180160757,18.8020618843212,1.08704955418012e-75,6,2.17409910836024e-75
"(Intercept)",1.00151514348967,0.0142138433235337,70.4605447445361,0,7,0
"MIR_628_3P",0.00228897220734512,0.00108048594435857,2.11846551016818,0.0341904894148536,7,0.0364778162724103
"OPIOID_USERS",-0.0372940435507631,0.017614008944086,-2.11729445971951,0.0342897474149993,7,0.0364778162724103
"Age",-0.00491923991954805,0.000143988361917438,-34.1641494773634,1.393737705794e-227,7,5.22651639672748e-227
"SexMale",0.0527210754920178,0.00369911637830232,14.2523430193385,4.13100905442306e-45,7,6.69893360176712e-45
"BMI",0.00691797791635923,0.000344821317866486,20.0625006573342,8.2368269895441e-86,7,1.97683847749058e-85
"(Intercept)",0.99797907565429,0.0148002102524495,67.4300606972202,0,8,0
"MIR_7_1_3P",0.00125879275760405,0.000564778768907104,2.22882450068002,0.0258752233518876,8,0.0298560269444857
"OPIOID_USERS",-0.0404518632399687,0.0173974700226881,-2.32515780669347,0.0201081697683752,8,0.025135212210469
"Age",-0.00488113570774378,0.00014743052481567,-33.108039965581,3.994354230589e-215,8,1.261375020186e-214
"SexMale",0.0537035318113931,0.00372015687508167,14.4358245135064,3.33993532431727e-46,8,5.72560341311531e-46
"BMI",0.00686752219716434,0.000348487397962641,19.7066586548434,5.83497327711569e-83,8,1.29666072824793e-82
"(Intercept)",1.00657394518071,0.0139722186825869,72.041095837926,0,9,0
"MIR_1255B_5P",0.00212364923245888,0.000988009589009871,2.14942168181493,0.031654928071343,9,0.0351721423014922
"OPIOID_USERS",-0.0397597672254575,0.0174352000148325,-2.28043080616414,0.0226293902373434,9,0.0266228120439334
"Age",-0.00499634186260292,0.000144651425263621,-34.5405643497622,9.6099021901904e-232,9,4.1185295100816e-231
"SexMale",0.0526526283195546,0.00372412963944712,14.1382372304771,2.00988787196403e-44,9,3.173507166259e-44
"BMI",0.00678938608956642,0.000347251288865044,19.5517952194126,1.0056227618745e-81,9,2.1549059183025e-81
"(Intercept)",1.01602430021987,0.0127373630245163,79.7672405398413,0,10,0
"MIR_1285_3P",0.00234865755192936,0.00094840583948163,2.47642670906905,0.0133095469978158,10,0.0185714609271848
"OPIOID_USERS",-0.0314076338002248,0.0184021303818723,-1.70673901056391,0.0879444045491765,10,0.0879444045491765
"Age",-0.00507619687726285,0.00015027120130469,-33.7802375517739,1.564250941242e-221,10,5.21416980413999e-221
"SexMale",0.0527298539689287,0.003889031844337,13.5586068922812,5.07223599064328e-41,10,7.80343998560505e-41
"BMI",0.00678028290010102,0.00035848919416312,18.9134930996438,1.23469405634031e-76,10,2.55453942691098e-76
